algorithm,n,b,runtime,scheduler,iterations,Blocks
potrf,19200,640,parsec,lfq,30,.1
geqrf,19200,320,parsec,lfq,60,.1
potrf,19200,200,parsec,gd,96,.1
potrf,19200,320,parsec,lfq,60,.1
potrf,19200,320,parsec,gd,60,.1
geqrf,19200,960,parsec,lfq,20,.1
geqrf,19200,256,parsec,gd,75,.1
potrf,19200,480,parsec,lfq,40,.1
potrf,19200,960,parsec,gd,20,.1
potrf,19200,640,parsec,gd,30,.1
geqrf,19200,480,parsec,lfq,40,.1
potrf,19200,960,parsec,lfq,20,.1
geqrf,19200,320,parsec,gd,60,.1
geqrf,19200,200,parsec,gd,96,.1
potrf,19200,200,parsec,lfq,96,.1
geqrf,19200,200,parsec,lfq,96,.1
geqrf,19200,384,parsec,lfq,50,.1
geqrf,19200,256,parsec,lfq,75,.1
potrf,19200,384,parsec,lfq,50,.1
geqrf,19200,480,parsec,gd,40,.1
potrf,19200,480,parsec,gd,40,.1
geqrf,19200,640,parsec,lfq,30,.1
geqrf,19200,384,parsec,gd,50,.1
geqrf,19200,640,parsec,gd,30,.1
potrf,19200,256,parsec,lfq,75,.1
geqrf,19200,960,parsec,gd,20,.1
potrf,19200,384,parsec,gd,50,.1
potrf,19200,256,parsec,gd,75,.1
geqrf,19200,384,parsec,lfq,50,.2
geqrf,19200,640,parsec,lfq,30,.2
geqrf,19200,320,parsec,gd,60,.2
potrf,19200,640,parsec,gd,30,.2
geqrf,19200,256,parsec,gd,75,.2
potrf,19200,640,parsec,lfq,30,.2
potrf,19200,200,parsec,lfq,96,.2
potrf,19200,960,parsec,gd,20,.2
potrf,19200,384,parsec,gd,50,.2
potrf,19200,320,parsec,lfq,60,.2
potrf,19200,256,parsec,lfq,75,.2
geqrf,19200,480,parsec,lfq,40,.2
geqrf,19200,384,parsec,gd,50,.2
geqrf,19200,200,parsec,lfq,96,.2
geqrf,19200,320,parsec,lfq,60,.2
potrf,19200,200,parsec,gd,96,.2
potrf,19200,320,parsec,gd,60,.2
potrf,19200,480,parsec,gd,40,.2
geqrf,19200,256,parsec,lfq,75,.2
geqrf,19200,960,parsec,lfq,20,.2
geqrf,19200,640,parsec,gd,30,.2
geqrf,19200,200,parsec,gd,96,.2
potrf,19200,384,parsec,lfq,50,.2
geqrf,19200,480,parsec,gd,40,.2
potrf,19200,480,parsec,lfq,40,.2
geqrf,19200,960,parsec,gd,20,.2
potrf,19200,960,parsec,lfq,20,.2
potrf,19200,256,parsec,gd,75,.2
potrf,19200,384,parsec,lfq,50,.3
geqrf,19200,256,parsec,gd,75,.3
potrf,19200,960,parsec,gd,20,.3
potrf,19200,480,parsec,gd,40,.3
geqrf,19200,200,parsec,gd,96,.3
potrf,19200,384,parsec,gd,50,.3
potrf,19200,960,parsec,lfq,20,.3
potrf,19200,320,parsec,gd,60,.3
geqrf,19200,640,parsec,gd,30,.3
geqrf,19200,384,parsec,lfq,50,.3
geqrf,19200,320,parsec,lfq,60,.3
potrf,19200,640,parsec,lfq,30,.3
geqrf,19200,320,parsec,gd,60,.3
geqrf,19200,480,parsec,gd,40,.3
potrf,19200,200,parsec,lfq,96,.3
potrf,19200,320,parsec,lfq,60,.3
potrf,19200,480,parsec,lfq,40,.3
geqrf,19200,200,parsec,lfq,96,.3
geqrf,19200,960,parsec,lfq,20,.3
geqrf,19200,256,parsec,lfq,75,.3
potrf,19200,256,parsec,gd,75,.3
geqrf,19200,384,parsec,gd,50,.3
potrf,19200,256,parsec,lfq,75,.3
geqrf,19200,480,parsec,lfq,40,.3
geqrf,19200,960,parsec,gd,20,.3
potrf,19200,200,parsec,gd,96,.3
geqrf,19200,640,parsec,lfq,30,.3
potrf,19200,640,parsec,gd,30,.3
geqrf,19200,200,parsec,gd,96,.4
potrf,19200,256,parsec,lfq,75,.4
potrf,19200,640,parsec,gd,30,.4
geqrf,19200,384,parsec,lfq,50,.4
potrf,19200,384,parsec,gd,50,.4
potrf,19200,960,parsec,lfq,20,.4
potrf,19200,200,parsec,lfq,96,.4
geqrf,19200,960,parsec,lfq,20,.4
potrf,19200,960,parsec,gd,20,.4
geqrf,19200,480,parsec,lfq,40,.4
geqrf,19200,200,parsec,lfq,96,.4
geqrf,19200,320,parsec,gd,60,.4
geqrf,19200,480,parsec,gd,40,.4
potrf,19200,384,parsec,lfq,50,.4
potrf,19200,320,parsec,gd,60,.4
geqrf,19200,256,parsec,lfq,75,.4
potrf,19200,200,parsec,gd,96,.4
potrf,19200,256,parsec,gd,75,.4
geqrf,19200,640,parsec,gd,30,.4
geqrf,19200,384,parsec,gd,50,.4
potrf,19200,320,parsec,lfq,60,.4
geqrf,19200,960,parsec,gd,20,.4
geqrf,19200,640,parsec,lfq,30,.4
potrf,19200,640,parsec,lfq,30,.4
geqrf,19200,320,parsec,lfq,60,.4
potrf,19200,480,parsec,lfq,40,.4
potrf,19200,480,parsec,gd,40,.4
geqrf,19200,256,parsec,gd,75,.4
potrf,19200,200,parsec,lfq,96,.5
geqrf,19200,960,parsec,lfq,20,.5
geqrf,19200,640,parsec,lfq,30,.5
potrf,19200,256,parsec,lfq,75,.5
potrf,19200,960,parsec,gd,20,.5
geqrf,19200,200,parsec,gd,96,.5
geqrf,19200,320,parsec,lfq,60,.5
potrf,19200,320,parsec,lfq,60,.5
geqrf,19200,384,parsec,gd,50,.5
geqrf,19200,480,parsec,gd,40,.5
potrf,19200,480,parsec,lfq,40,.5
potrf,19200,256,parsec,gd,75,.5
potrf,19200,960,parsec,lfq,20,.5
geqrf,19200,960,parsec,gd,20,.5
geqrf,19200,480,parsec,lfq,40,.5
geqrf,19200,200,parsec,lfq,96,.5
geqrf,19200,384,parsec,lfq,50,.5
potrf,19200,384,parsec,lfq,50,.5
geqrf,19200,320,parsec,gd,60,.5
geqrf,19200,640,parsec,gd,30,.5
potrf,19200,640,parsec,lfq,30,.5
potrf,19200,480,parsec,gd,40,.5
potrf,19200,200,parsec,gd,96,.5
potrf,19200,384,parsec,gd,50,.5
geqrf,19200,256,parsec,lfq,75,.5
geqrf,19200,256,parsec,gd,75,.5
potrf,19200,320,parsec,gd,60,.5
potrf,19200,640,parsec,gd,30,.5
geqrf,19200,256,starpu,lws,75,.1
potrf,19200,200,starpu,lws,96,.1
potrf,19200,480,starpu,ws,40,.1
geqrf,19200,960,starpu,lws,20,.1
geqrf,19200,256,starpu,ws,75,.1
potrf,19200,384,starpu,ws,50,.1
geqrf,19200,480,starpu,lws,40,.1
potrf,19200,384,starpu,lws,50,.1
potrf,19200,480,starpu,lws,40,.1
potrf,19200,200,starpu,ws,96,.1
potrf,19200,640,starpu,ws,30,.1
geqrf,19200,320,starpu,ws,60,.1
potrf,19200,256,starpu,lws,75,.1
geqrf,19200,320,starpu,lws,60,.1
geqrf,19200,640,starpu,lws,30,.1
potrf,19200,960,starpu,ws,20,.1
geqrf,19200,384,starpu,lws,50,.1
geqrf,19200,384,starpu,ws,50,.1
geqrf,19200,960,starpu,ws,20,.1
potrf,19200,320,starpu,ws,60,.1
geqrf,19200,200,starpu,lws,96,.1
potrf,19200,960,starpu,lws,20,.1
geqrf,19200,200,starpu,ws,96,.1
potrf,19200,640,starpu,lws,30,.1
geqrf,19200,640,starpu,ws,30,.1
potrf,19200,256,starpu,ws,75,.1
geqrf,19200,480,starpu,ws,40,.1
potrf,19200,320,starpu,lws,60,.1
potrf,19200,960,starpu,lws,20,.2
potrf,19200,640,starpu,ws,30,.2
potrf,19200,480,starpu,ws,40,.2
geqrf,19200,320,starpu,ws,60,.2
geqrf,19200,384,starpu,ws,50,.2
geqrf,19200,960,starpu,ws,20,.2
potrf,19200,384,starpu,ws,50,.2
potrf,19200,256,starpu,ws,75,.2
potrf,19200,480,starpu,lws,40,.2
potrf,19200,320,starpu,ws,60,.2
geqrf,19200,640,starpu,ws,30,.2
geqrf,19200,200,starpu,ws,96,.2
potrf,19200,640,starpu,lws,30,.2
geqrf,19200,480,starpu,lws,40,.2
potrf,19200,384,starpu,lws,50,.2
geqrf,19200,200,starpu,lws,96,.2
potrf,19200,200,starpu,lws,96,.2
potrf,19200,200,starpu,ws,96,.2
geqrf,19200,640,starpu,lws,30,.2
geqrf,19200,384,starpu,lws,50,.2
geqrf,19200,480,starpu,ws,40,.2
potrf,19200,256,starpu,lws,75,.2
geqrf,19200,320,starpu,lws,60,.2
geqrf,19200,960,starpu,lws,20,.2
geqrf,19200,256,starpu,lws,75,.2
potrf,19200,960,starpu,ws,20,.2
potrf,19200,320,starpu,lws,60,.2
geqrf,19200,256,starpu,ws,75,.2
geqrf,19200,384,starpu,ws,50,.3
potrf,19200,384,starpu,lws,50,.3
potrf,19200,960,starpu,ws,20,.3
geqrf,19200,320,starpu,ws,60,.3
geqrf,19200,480,starpu,ws,40,.3
geqrf,19200,200,starpu,ws,96,.3
potrf,19200,320,starpu,ws,60,.3
geqrf,19200,200,starpu,lws,96,.3
potrf,19200,200,starpu,lws,96,.3
potrf,19200,960,starpu,lws,20,.3
geqrf,19200,640,starpu,ws,30,.3
potrf,19200,256,starpu,ws,75,.3
potrf,19200,640,starpu,lws,30,.3
potrf,19200,256,starpu,lws,75,.3
geqrf,19200,960,starpu,lws,20,.3
geqrf,19200,384,starpu,lws,50,.3
potrf,19200,480,starpu,lws,40,.3
geqrf,19200,256,starpu,ws,75,.3
geqrf,19200,480,starpu,lws,40,.3
potrf,19200,200,starpu,ws,96,.3
potrf,19200,320,starpu,lws,60,.3
potrf,19200,384,starpu,ws,50,.3
geqrf,19200,640,starpu,lws,30,.3
geqrf,19200,320,starpu,lws,60,.3
geqrf,19200,256,starpu,lws,75,.3
geqrf,19200,960,starpu,ws,20,.3
potrf,19200,640,starpu,ws,30,.3
potrf,19200,480,starpu,ws,40,.3
potrf,19200,960,starpu,ws,20,.4
geqrf,19200,384,starpu,lws,50,.4
potrf,19200,384,starpu,ws,50,.4
potrf,19200,200,starpu,lws,96,.4
geqrf,19200,320,starpu,ws,60,.4
geqrf,19200,480,starpu,ws,40,.4
geqrf,19200,384,starpu,ws,50,.4
geqrf,19200,200,starpu,ws,96,.4
geqrf,19200,200,starpu,lws,96,.4
geqrf,19200,960,starpu,lws,20,.4
geqrf,19200,640,starpu,ws,30,.4
potrf,19200,320,starpu,lws,60,.4
potrf,19200,384,starpu,lws,50,.4
geqrf,19200,256,starpu,lws,75,.4
potrf,19200,256,starpu,ws,75,.4
geqrf,19200,480,starpu,lws,40,.4
potrf,19200,640,starpu,ws,30,.4
potrf,19200,480,starpu,lws,40,.4
potrf,19200,200,starpu,ws,96,.4
geqrf,19200,320,starpu,lws,60,.4
geqrf,19200,256,starpu,ws,75,.4
potrf,19200,256,starpu,lws,75,.4
potrf,19200,960,starpu,lws,20,.4
potrf,19200,320,starpu,ws,60,.4
geqrf,19200,640,starpu,lws,30,.4
potrf,19200,640,starpu,lws,30,.4
potrf,19200,480,starpu,ws,40,.4
geqrf,19200,960,starpu,ws,20,.4
geqrf,19200,320,starpu,ws,60,.5
potrf,19200,200,starpu,lws,96,.5
geqrf,19200,960,starpu,ws,20,.5
geqrf,19200,960,starpu,lws,20,.5
geqrf,19200,640,starpu,lws,30,.5
geqrf,19200,200,starpu,ws,96,.5
geqrf,19200,480,starpu,lws,40,.5
geqrf,19200,640,starpu,ws,30,.5
geqrf,19200,256,starpu,lws,75,.5
geqrf,19200,384,starpu,ws,50,.5
potrf,19200,640,starpu,ws,30,.5
geqrf,19200,480,starpu,ws,40,.5
potrf,19200,200,starpu,ws,96,.5
potrf,19200,256,starpu,ws,75,.5
geqrf,19200,256,starpu,ws,75,.5
geqrf,19200,384,starpu,lws,50,.5
potrf,19200,384,starpu,ws,50,.5
potrf,19200,384,starpu,lws,50,.5
potrf,19200,960,starpu,ws,20,.5
potrf,19200,640,starpu,lws,30,.5
potrf,19200,480,starpu,lws,40,.5
geqrf,19200,200,starpu,lws,96,.5
potrf,19200,320,starpu,lws,60,.5
potrf,19200,256,starpu,lws,75,.5
geqrf,19200,320,starpu,lws,60,.5
potrf,19200,480,starpu,ws,40,.5
potrf,19200,960,starpu,lws,20,.5
potrf,19200,320,starpu,ws,60,.5
